H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝利数,引分数,敗北数,勝ち点,順位
H,山形,○,3,0,3,0,3,1,0,0,3,2
A,千葉,△,0,0,3,0,3,1,1,0,4,4
A,讃岐,○,2,1,5,1,4,2,1,0,7,3
H,山口,○,3,0,8,1,7,3,1,0,10,1
A,大分,●,1,3,9,4,5,3,1,1,10,3
H,横浜FC,△,0,0,9,4,5,3,2,1,11,3
H,町田,●,0,1,9,5,4,3,2,2,11,7
A,甲府,△,1,1,10,6,4,3,3,2,12,8
H,金沢,○,1,0,11,6,5,4,3,2,15,6
A,東京Ｖ,●,0,3,11,9,2,4,3,3,15,8
H,京都,●,1,2,12,11,1,4,3,4,15,11
A,松本,●,0,2,12,13,-1,4,3,5,15,14
H,徳島,●,0,1,12,14,-2,4,3,6,15,19
H,岡山,○,3,0,15,14,1,5,3,6,18,13
A,熊本,●,1,2,16,16,0,5,3,7,18,16
H,福岡,●,0,2,16,18,-2,5,3,8,18,19
A,岐阜,●,0,4,16,22,-6,5,3,9,18,19
A,栃木,○,2,1,18,23,-5,6,3,9,21,16
H,大宮,●,1,2,19,25,-6,6,3,10,21,17
A,愛媛,○,1,0,20,25,-5,7,3,10,24,15
A,新潟,△,1,1,21,26,-5,7,4,10,25,16
H,讃岐,○,5,0,26,26,0,8,4,10,28,14
A,京都,○,1,0,27,26,1,9,4,10,31,14
A,山口,△,2,2,29,28,1,9,5,10,32,13
H,栃木,△,0,0,29,28,1,9,6,10,33,13
H,愛媛,○,4,1,33,29,4,10,6,10,36,10
A,徳島,●,0,1,33,30,3,10,6,11,36,12
A,福岡,●,0,2,33,32,1,10,6,12,36,13
H,千葉,○,1,0,34,32,2,11,6,12,39,12
A,岡山,○,1,0,35,32,3,12,6,12,42,11
H,松本,△,1,1,36,33,3,12,7,12,43,12
A,町田,△,0,0,36,33,3,12,8,12,44,11
A,横浜FC,○,2,1,38,34,4,13,8,12,47,11
H,新潟,●,0,1,38,35,3,13,8,13,47,11
H,大分,●,1,2,39,37,2,13,8,14,47,12
A,大宮,●,1,2,40,39,1,13,8,15,47,14
H,東京Ｖ,●,0,1,40,40,0,13,8,16,47,15
H,熊本,○,3,2,43,42,1,14,8,16,50,14
A,山形,○,1,0,44,42,2,15,8,16,53,11
H,甲府,○,2,0,46,42,4,16,8,16,56,10
H,岐阜,△,1,1,47,43,4,16,9,16,57,10
A,金沢,●,1,3,48,46,2,16,9,17,57,10
