H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝利数,引分数,敗北数,勝ち点,順位
H,群馬,△,1,1,1,1,0,0,1,0,1,11
H,富山,○,1,0,2,1,1,1,1,0,4,6
A,鳥取,●,1,3,3,4,-1,1,1,1,4,13
A,岡山,△,1,1,4,5,-1,1,2,1,5,14
H,愛媛,●,0,1,4,6,-2,1,2,2,5,18
A,福岡,△,1,1,5,7,-2,1,3,2,6,16
H,松本,●,1,2,6,9,-3,1,3,3,6,18
A,栃木,○,1,0,7,9,-2,2,3,3,9,16
H,千葉,○,2,0,9,9,0,3,3,3,12,13
A,北九州,○,2,0,11,9,2,4,3,3,15,8
H,横浜FC,△,2,2,13,11,2,4,4,3,16,8
A,熊本,●,2,3,15,14,1,4,4,4,16,9
H,長崎,△,0,0,15,14,1,4,5,4,17,12
A,徳島,●,1,3,16,17,-1,4,5,5,17,16
H,岐阜,○,4,1,20,18,2,5,5,5,20,11
A,札幌,○,1,0,21,18,3,6,5,5,23,10
H,神戸,●,0,2,21,20,1,6,5,6,23,12
A,東京Ｖ,△,0,0,21,20,1,6,6,6,24,12
H,Ｇ大阪,●,0,2,21,22,-1,6,6,7,24,14
A,京都,○,1,0,22,22,0,7,6,7,27,12
H,山形,●,1,3,23,25,-2,7,6,8,27,12
A,松本,●,0,2,23,27,-4,7,6,9,27,15
A,群馬,○,1,0,24,27,-3,8,6,9,30,14
H,岡山,○,1,0,25,27,-2,9,6,9,33,12
H,鳥取,△,2,2,27,29,-2,9,7,9,34,12
A,長崎,○,2,0,29,29,0,10,7,9,37,10
A,千葉,●,0,2,29,31,-2,10,7,10,37,11
H,栃木,○,4,3,33,34,-1,11,7,10,40,10
A,岐阜,○,4,1,37,35,2,12,7,10,43,7
H,福岡,△,0,0,37,35,2,12,8,10,44,9
H,札幌,●,1,3,38,38,0,12,8,11,44,10
A,山形,●,1,2,39,40,-1,12,8,12,44,12
A,Ｇ大阪,●,0,5,39,45,-6,12,8,13,44,12
H,熊本,△,1,1,40,46,-6,12,9,13,45,13
A,神戸,△,1,1,41,47,-6,12,10,13,46,13
H,徳島,△,0,0,41,47,-6,12,11,13,47,13
H,北九州,△,2,2,43,49,-6,12,12,13,48,14
A,富山,●,1,2,44,51,-7,12,12,14,48,14
A,愛媛,△,2,2,46,53,-7,12,13,14,49,15
H,東京Ｖ,○,1,0,47,53,-6,13,13,14,52,14
H,京都,○,2,1,49,54,-5,14,13,14,55,13
A,横浜FC,●,1,4,50,58,-8,14,13,15,55,15
