H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
H,松本,●,0,1,0,1,-1,0,17
A,札幌,○,1,0,1,1,0,3,11
H,千葉,△,0,0,1,1,0,4,12
A,山形,●,1,2,2,3,-1,4,17
A,鳥取,△,1,1,3,4,-1,5,17
H,群馬,○,3,0,6,4,2,8,10
A,富山,○,2,1,8,5,3,11,7
H,水戸,●,0,1,8,6,2,11,9
A,徳島,○,1,0,9,6,3,14,6
H,岐阜,○,2,0,11,6,5,17,5
A,北九州,○,2,0,13,6,7,20,4
H,岡山,○,1,0,14,6,8,23,4
A,愛媛,●,0,3,14,9,5,23,4
H,長崎,△,2,2,16,11,5,24,5
A,熊本,○,4,1,20,12,8,27,4
H,横浜FC,△,0,0,20,12,8,28,5
A,Ｇ大阪,●,0,3,20,15,5,28,5
H,福岡,○,2,0,22,15,7,31,5
H,神戸,△,2,2,24,17,7,32,5
A,東京Ｖ,△,3,3,27,20,7,33,5
H,京都,△,2,2,29,22,7,34,6
A,横浜FC,●,1,3,30,25,5,34,6
H,富山,△,1,1,31,26,5,35,6
A,福岡,●,0,2,31,28,3,35,7
H,熊本,●,0,1,31,29,2,35,10
A,神戸,●,0,2,31,31,0,35,14
A,水戸,●,3,4,34,35,-1,35,14
H,鳥取,△,1,1,35,36,-1,36,14
H,山形,△,1,1,36,37,-1,37,14
A,岡山,○,3,1,39,38,1,40,14
H,徳島,●,0,1,39,39,0,40,14
H,愛媛/26節,●,0,1,39,40,-1,40,14
H,札幌,○,4,3,43,43,0,43,14
A,群馬,○,1,0,44,43,1,46,12
A,松本,△,2,2,46,45,1,47,12
H,Ｇ大阪,○,4,2,50,47,3,50,12
H,東京Ｖ,○,4,2,54,49,5,53,10
A,岐阜,○,1,0,55,49,6,56,8
A,長崎,●,0,2,55,51,4,56,10
H,北九州,○,3,2,58,53,5,59,9
A,千葉,△,1,1,59,54,5,60,9
A,京都,○,2,1,61,55,6,63,9
