H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
H,富山,●,1,2,1,2,-1,0,15
A,岡山,△,0,0,1,2,-1,1,17
A,徳島,○,2,1,3,3,0,4,10
H,東京Ｖ,△,1,1,4,4,0,5,13
H,山形,●,1,2,5,6,-1,5,16
A,千葉,●,1,6,6,12,-6,5,21
H,愛媛,○,1,0,7,12,-5,8,16
A,福岡,●,1,2,8,14,-6,8,19
A,神戸,●,1,2,9,16,-7,8,19
H,水戸,●,0,2,9,18,-9,8,19
H,栃木,●,0,2,9,20,-11,8,21
A,長崎,●,0,1,9,21,-12,8,21
H,札幌,●,1,2,10,23,-13,8,21
A,松本,△,1,1,11,24,-13,9,21
H,横浜FC,△,1,1,12,25,-13,10,20
A,群馬,△,0,0,12,25,-13,11,20
A,京都,○,2,1,14,26,-12,14,20
H,Ｇ大阪,●,0,1,14,27,-13,14,20
H,熊本,○,7,0,21,27,-6,17,20
A,鳥取,○,3,2,24,29,-5,20,18
A,岐阜,●,1,3,25,32,-7,20,19
H,長崎,●,1,2,26,34,-8,20,20
H,徳島,●,0,2,26,36,-10,20,20
A,Ｇ大阪,△,1,1,27,37,-10,21,20
H,京都,△,1,1,28,38,-10,22,20
H,松本,●,1,2,29,40,-11,22,20
A,横浜FC,○,2,1,31,41,-10,25,20
H,千葉,○,1,0,32,41,-9,28,19
A,愛媛,●,0,3,32,44,-12,28,19
H,岐阜,○,2,0,34,44,-10,31,17
H,神戸,●,2,3,36,47,-11,31,17
A,熊本/31節,○,2,1,38,48,-10,34,16
A,富山,△,0,0,38,48,-10,35,17
H,岡山,○,2,1,40,49,-9,38,16
A,山形,○,1,0,41,49,-8,41,16
H,福岡,●,0,2,41,51,-10,41,17
A,水戸,△,2,2,43,53,-10,42,17
A,東京Ｖ,●,0,1,43,54,-11,42,17
H,群馬,○,3,2,46,56,-10,45,17
A,栃木,●,2,3,48,59,-11,45,17
H,鳥取,○,2,1,50,60,-10,48,16
A,札幌,△,0,0,50,60,-10,49,16
