H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
H,千葉,●,0,1,0,1,-1,0,16
A,讃岐,△,2,2,2,3,-1,1,18
H,岡山,△,1,1,3,4,-1,2,17
A,群馬,○,1,0,4,4,0,5,13
A,金沢,△,2,2,6,6,0,6,13
H,岐阜,●,0,1,6,7,-1,6,15
A,福岡,○,3,1,9,8,1,9,11
H,横浜FC,○,1,0,10,8,2,12,11
H,徳島,●,0,1,10,9,1,12,12
A,水戸,●,2,3,12,12,0,12,15
H,熊本,○,2,1,14,13,1,15,12
H,湘南,△,0,0,14,13,1,16,12
A,松本,△,1,1,15,14,1,17,13
A,名古屋,●,1,2,16,16,0,17,15
H,大分,△,2,2,18,18,0,18,16
A,山口,○,1,0,19,18,1,21,15
H,愛媛,●,1,2,20,20,0,21,17
A,京都,△,2,2,22,22,0,22,17
A,長崎,△,0,0,22,22,0,23,17
H,東京Ｖ,●,2,4,24,26,-2,23,17
A,山形,○,3,1,27,27,0,26,16
H,群馬,○,2,0,29,27,2,29,15
H,水戸,○,2,0,31,27,4,32,13
A,岐阜,○,2,0,33,27,6,35,12
H,京都,●,0,2,33,29,4,35,14
H,福岡,●,0,1,33,30,3,35,15
A,大分,○,3,1,36,31,5,38,14
H,名古屋,●,3,4,39,35,4,38,15
A,愛媛,△,1,1,40,36,4,39,15
H,松本,●,1,2,41,38,3,39,15
A,熊本,○,1,0,42,38,4,42,14
A,岡山,△,1,1,43,39,4,43,14
H,山形,△,0,0,43,39,4,44,14
A,徳島,△,2,2,45,41,4,45,14
A,東京Ｖ,●,1,3,46,44,2,45,14
H,長崎,△,1,1,47,45,2,46,14
A,東京Ｖ,△,1,1,48,46,2,47,15
A,横浜FC,△,2,2,50,48,2,48,15
H,讃岐,△,1,1,51,49,2,49,15
A,千葉,●,1,2,52,51,1,49,15
H,山口,●,0,1,52,52,0,49,16
A,湘南,△,1,1,53,53,0,50,16
