H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
H,群馬,○,4,0,4,0,4,3,1
H,横浜FC,△,1,1,5,1,4,4,2
A,徳島,●,1,3,6,4,2,4,11
H,金沢,○,2,1,8,5,3,7,6
A,京都,○,1,0,9,5,4,10,4
H,山形,○,2,0,11,5,6,13,3
A,松本,●,0,3,11,8,3,13,6
H,福岡,●,0,1,11,9,2,13,8
A,愛媛,●,0,1,11,10,1,13,9
A,山口,○,3,0,14,10,4,16,8
H,岡山,○,3,0,17,10,7,19,6
H,水戸,△,0,0,17,10,7,20,6
A,千葉,●,0,5,17,15,2,20,9
H,大分,○,2,1,19,16,3,23,8
A,岐阜,△,4,4,23,20,3,24,7
H,東京Ｖ,○,1,0,24,20,4,27,5
A,湘南,△,1,1,25,21,4,28,5
H,熊本,○,1,0,26,21,5,31,5
H,町田,△,0,0,26,21,5,32,4
A,名古屋,●,0,2,26,23,3,32,9
A,讃岐,○,1,0,27,23,4,35,4
H,愛媛,○,2,0,29,23,6,38,4
H,松本,○,1,0,30,23,7,41,3
A,横浜FC,●,1,2,31,25,6,41,4
A,岡山,●,0,2,31,27,4,41,5
H,岐阜,○,2,1,33,28,5,44,3
H,湘南,●,0,2,33,30,3,44,5
A,福岡,○,1,0,34,30,4,47,5
A,東京Ｖ,●,1,2,35,32,3,47,5
H,京都,○,1,0,36,32,4,50,5
A,金沢,○,2,1,38,33,5,53,4
H,徳島,○,2,1,40,34,6,56,3
A,大分,○,2,1,42,35,7,59,2
H,千葉,○,2,1,44,36,8,62,2
A,山形,△,0,0,44,36,8,63,3
A,町田,△,1,1,45,37,8,64,3
A,山形,○,2,1,47,38,9,67,3
H,名古屋,△,1,1,48,39,9,68,3
A,熊本,○,2,0,50,39,11,71,2
A,水戸,○,2,0,52,39,13,74,2
H,讃岐,○,3,1,55,40,15,77,2
A,群馬,○,4,1,59,41,18,80,2
