H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
H,大分,●,1,2,1,2,-1,0,13
A,山口,○,2,1,3,3,0,3,10
H,京都,○,2,1,5,4,1,6,7
H,熊本,○,2,1,7,5,2,9,5
A,山形,△,0,0,7,5,2,10,5
H,横浜FC,△,0,0,7,5,2,11,6
H,町田,●,1,3,8,8,0,11,8
A,長崎,○,1,0,9,8,1,14,6
A,水戸,△,1,1,10,9,1,15,7
H,東京Ｖ,○,1,0,11,9,2,18,5
A,徳島,●,1,2,12,11,1,18,9
A,松本,○,1,0,13,11,2,21,5
H,岡山,○,1,0,14,11,3,24,3
A,湘南,○,3,0,17,11,6,27,2
A,金沢,○,5,0,22,11,11,30,1
H,群馬,●,1,3,23,14,9,30,2
H,讃岐,○,3,1,26,15,11,33,1
A,千葉,△,0,0,26,15,11,34,1
H,名古屋,○,3,1,29,16,13,37,1
A,愛媛,○,1,0,30,16,14,40,1
H,岐阜,○,1,0,31,16,15,43,1
H,金沢,●,0,2,31,18,13,43,2
A,群馬,○,3,1,34,19,15,46,2
H,徳島,●,0,1,34,20,14,46,2
H,山形,○,2,0,36,20,16,49,2
A,町田,○,1,0,37,20,17,52,2
A,京都,○,1,0,38,20,18,55,2
H,長崎,●,0,1,38,21,17,55,2
A,名古屋,●,1,3,39,24,15,55,2
H,水戸,△,0,0,39,24,15,56,2
A,讃岐,△,2,2,41,26,15,57,2
H,愛媛,●,0,1,41,27,14,57,2
A,熊本,△,1,1,42,28,14,58,3
A,岐阜,○,2,1,44,29,15,61,3
H,山口,○,2,1,46,30,16,64,2
A,横浜FC,○,3,1,49,31,18,67,2
H,山口,△,1,1,50,32,18,68,2
H,千葉,●,0,1,50,33,17,68,2
A,東京Ｖ,△,0,0,50,33,17,69,4
H,湘南,○,2,1,52,34,18,72,4
H,松本,△,1,1,53,35,18,73,3
A,岡山,△,1,1,54,36,18,74,4
