H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
H,湘南,●,0,1,0,1,-1,0,16
H,金沢,○,4,0,4,1,3,3,9
A,東京Ｖ,●,0,4,4,5,-1,3,14
A,名古屋,●,1,2,5,7,-2,3,17
H,愛媛,○,1,0,6,7,-1,6,14
H,山口,△,1,1,7,8,-1,7,12
A,岐阜,●,1,2,8,10,-2,7,17
A,群馬,○,1,0,9,10,-1,10,13
H,福岡,△,1,1,10,11,-1,11,16
H,町田,○,3,2,13,13,0,14,13
A,山形,△,0,0,13,13,0,15,13
A,長崎,△,0,0,13,13,0,16,13
H,横浜FC,△,0,0,13,13,0,17,14
A,京都,△,1,1,14,14,0,18,14
H,徳島,△,1,1,15,15,0,19,15
A,熊本,○,3,2,18,17,1,22,13
H,大分,○,2,0,20,17,3,25,10
A,松本,○,1,0,21,17,4,28,9
H,千葉,○,3,1,24,18,6,31,7
H,讃岐,○,2,1,26,19,7,34,4
A,岡山,●,0,3,26,22,4,34,7
H,熊本,△,2,2,28,24,4,35,6
A,町田,●,0,2,28,26,2,35,8
A,大分,△,0,0,28,26,2,36,11
H,東京Ｖ,○,3,2,31,28,3,39,9
A,讃岐,●,0,2,31,30,1,39,11
A,愛媛,△,0,0,31,30,1,40,12
H,京都,○,2,0,33,30,3,43,7
A,横浜FC,●,0,1,33,31,2,43,10
A,福岡,△,0,0,33,31,2,44,11
H,名古屋,△,1,1,34,32,2,45,11
H,岐阜,●,1,2,35,34,1,45,11
A,千葉,●,1,2,36,36,0,45,13
H,群馬,○,4,0,40,36,4,48,11
H,松本,●,0,1,40,37,3,48,11
A,湘南,●,0,3,40,40,0,48,12
H,松本,○,1,0,41,40,1,51,11
A,山口,●,0,1,41,41,0,51,12
A,徳島,○,3,2,44,43,1,54,11
H,長崎,●,0,2,44,45,-1,54,11
H,山形,●,0,1,44,46,-2,54,13
A,金沢,●,1,2,45,48,-3,54,14
