H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝利数,引分数,敗北数,勝ち点,順位
H,讃岐,○,3,1,3,1,2,1,0,0,3,1
H,富山,○,3,0,6,1,5,2,0,0,6,1
A,山形,●,1,3,7,4,3,2,0,1,6,4
H,湘南,●,2,3,9,7,2,2,0,2,6,10
A,愛媛,△,0,0,9,7,2,2,1,2,7,12
H,福岡,●,1,2,10,9,1,2,1,3,7,14
A,横浜FC,○,1,0,11,9,2,3,1,3,10,10
H,栃木,●,1,3,12,12,0,3,1,4,10,14
A,松本,●,0,1,12,13,-1,3,1,5,10,17
H,群馬,○,1,0,13,13,0,4,1,5,13,14
A,東京Ｖ,○,1,0,14,13,1,5,1,5,16,9
H,千葉,△,2,2,16,15,1,5,2,5,17,9
A,水戸,●,2,3,18,18,0,5,2,6,17,13
A,岡山,●,1,2,19,20,-1,5,2,7,17,15
H,北九州,△,1,1,20,21,-1,5,3,7,18,17
H,京都,○,2,1,22,22,0,6,3,7,21,14
A,大分,●,0,1,22,23,-1,6,3,8,21,15
H,磐田,●,0,4,22,27,-5,6,3,9,21,16
H,長崎,△,1,1,23,28,-5,6,4,9,22,16
A,札幌,●,2,3,25,31,-6,6,4,10,22,18
A,熊本,○,3,0,28,31,-3,7,4,10,25,16
H,横浜FC,●,1,2,29,33,-4,7,4,11,25,16
A,讃岐,○,2,1,31,34,-3,8,4,11,28,15
H,岡山,△,2,2,33,36,-3,8,5,11,29,17
A,長崎,○,2,0,35,36,-1,9,5,11,32,14
H,愛媛,○,4,3,39,39,0,10,5,11,35,11
A,群馬,△,2,2,41,41,0,10,6,11,36,12
A,福岡,●,0,1,41,42,-1,10,6,12,36,12
H,東京Ｖ,○,3,0,44,42,2,11,6,12,39,12
A,富山,△,0,0,44,42,2,11,7,12,40,13
H,札幌,△,1,1,45,43,2,11,8,12,41,13
A,千葉,●,0,1,45,44,1,11,8,13,41,13
H,熊本,●,2,3,47,47,0,11,8,14,41,15
A,湘南,△,0,0,47,47,0,11,9,14,42,14
H,山形,○,1,0,48,47,1,12,9,14,45,14
A,磐田,●,1,3,49,50,-1,12,9,15,45,14
H,水戸,●,0,2,49,52,-3,12,9,16,45,15
A,北九州,●,0,2,49,54,-5,12,9,17,45,18
H,大分,●,2,3,51,57,-6,12,9,18,45,18
A,栃木,●,0,3,51,60,-9,12,9,19,45,18
H,松本,○,3,1,54,61,-7,13,9,19,48,18
A,京都,△,0,0,54,61,-7,13,10,19,49,17
