H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
H,富山,△,0,0,0,0,0,1,10
A,千葉,●,0,1,0,1,-1,1,17
H,群馬,●,1,2,1,3,-2,1,19
A,水戸,○,1,0,2,3,-1,4,16
H,大分,△,1,1,3,4,-1,5,18
A,湘南,●,0,2,3,6,-3,5,19
A,東京Ｖ,○,1,0,4,6,-2,8,19
H,北九州,●,0,3,4,9,-5,8,19
H,札幌,○,2,0,6,9,-3,11,15
A,山形,○,2,0,8,9,-1,14,13
A,熊本,△,0,0,8,9,-1,15,14
H,福岡,△,1,1,9,10,-1,16,14
A,栃木,○,1,0,10,10,0,19,9
H,岐阜,○,2,1,12,11,1,22,7
H,長崎,○,2,1,14,12,2,25,5
A,磐田,△,1,1,15,13,2,26,5
H,松本,△,0,0,15,13,2,27,6
A,愛媛,○,3,2,18,15,3,30,5
H,横浜FC,△,0,0,18,15,3,31,5
A,京都,△,1,1,19,16,3,32,6
H,讃岐,△,2,2,21,18,3,33,4
A,福岡,○,3,2,24,20,4,36,4
H,栃木,○,3,1,27,21,6,39,4
A,岐阜,△,2,2,29,23,6,40,4
H,東京Ｖ,○,2,1,31,24,7,43,4
H,湘南,△,0,0,31,24,7,44,4
A,北九州,●,1,2,32,26,6,44,5
H,千葉,○,1,0,33,26,7,47,5
A,讃岐,●,1,2,34,28,6,47,5
H,磐田,△,1,1,35,29,6,48,5
A,松本,○,2,1,37,30,7,51,5
H,愛媛,△,1,1,38,31,7,52,4
A,札幌,●,1,3,39,34,5,52,5
H,水戸,△,1,1,40,35,5,53,5
A,長崎,△,1,1,41,36,5,54,5
A,群馬,●,2,3,43,39,4,54,6
H,山形,●,1,4,44,43,1,54,7
A,大分,●,0,1,44,44,0,54,9
H,京都,●,2,3,46,47,-1,54,10
A,横浜FC,○,2,0,48,47,1,57,9
H,熊本,△,1,1,49,48,1,58,10
A,富山,○,3,0,52,48,4,61,8
