H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝利数,引分数,敗北数,勝ち点,順位
A,東京Ｖ,○,3,1,3,1,2,1,0,0,3,1
A,熊本,○,1,0,4,1,3,2,0,0,6,3
H,長崎,△,0,0,4,1,3,2,1,0,7,2
A,讃岐,○,5,0,9,1,8,3,1,0,10,2
H,湘南,●,1,4,10,5,5,3,1,1,10,3
A,札幌,●,0,1,10,6,4,3,1,2,10,8
A,栃木,○,2,1,12,7,5,4,1,2,13,4
H,京都,△,2,2,14,9,5,4,2,2,14,4
H,岐阜,○,1,0,15,9,6,5,2,2,17,4
A,富山,●,2,3,17,12,5,5,2,3,17,4
H,愛媛,○,2,1,19,13,6,6,2,3,20,3
A,大分,○,2,0,21,13,8,7,2,3,23,3
H,横浜FC,○,2,0,23,13,10,8,2,3,26,3
A,山形,△,0,0,23,13,10,8,3,3,27,3
H,磐田,○,2,1,25,14,11,9,3,3,30,3
A,水戸,○,2,1,27,15,12,10,3,3,33,2
A,岡山,△,0,0,27,15,12,10,4,3,34,3
H,北九州,●,0,1,27,16,11,10,4,4,34,3
H,群馬,○,3,1,30,17,13,11,4,4,37,3
A,千葉,○,1,0,31,17,14,12,4,4,40,3
H,福岡,○,2,1,33,18,15,13,4,4,43,3
A,長崎,○,2,0,35,18,17,14,4,4,46,2
H,東京Ｖ,△,1,1,36,19,17,14,5,4,47,2
H,熊本,○,2,1,38,20,18,15,5,4,50,2
A,磐田,△,1,1,39,21,18,15,6,4,51,2
H,栃木,○,2,1,41,22,19,16,6,4,54,2
A,愛媛,○,4,1,45,23,22,17,6,4,57,2
H,山形,△,0,0,45,23,22,17,7,4,58,2
A,群馬,○,3,1,48,24,24,18,7,4,61,2
A,湘南,△,1,1,49,25,24,18,8,4,62,2
H,岡山,●,1,2,50,27,23,18,8,5,62,2
H,讃岐,△,0,0,50,27,23,18,9,5,63,2
A,北九州,△,0,0,50,27,23,18,10,5,64,2
H,札幌,●,1,2,51,29,22,18,10,6,64,2
A,横浜FC,○,2,0,53,29,24,19,10,6,67,2
H,大分,○,2,0,55,29,26,20,10,6,70,2
A,京都,△,0,0,55,29,26,20,11,6,71,2
H,富山,○,2,1,57,30,27,21,11,6,74,2
A,福岡,○,2,1,59,31,28,22,11,6,77,2
H,千葉,○,2,1,61,32,29,23,11,6,80,2
A,岐阜,●,1,3,62,35,27,23,11,7,80,2
H,水戸,○,3,0,65,35,30,24,11,7,83,2
