H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝利数,引分数,敗北数,勝ち点,順位
H,京都,●,1,3,1,3,-2,0,0,1,0,18
A,大分,●,0,1,1,4,-3,0,0,2,0,20
H,水戸,○,1,0,2,4,-2,1,0,2,3,17
A,札幌,●,0,3,2,7,-5,1,0,3,3,19
H,讃岐,○,2,1,4,8,-4,2,0,3,6,16
A,長崎,△,1,1,5,9,-4,2,1,3,7,16
H,磐田,○,3,2,8,11,-3,3,1,3,10,13
A,岡山,○,3,0,11,11,0,4,1,3,13,8
H,山形,●,0,1,11,12,-1,4,1,4,13,12
A,福岡,○,1,0,12,12,0,5,1,4,16,6
H,横浜FC,○,2,1,14,13,1,6,1,4,19,6
A,富山,○,2,0,16,13,3,7,1,4,22,4
A,東京Ｖ,●,0,1,16,14,2,7,1,5,22,5
H,群馬,○,2,1,18,15,3,8,1,5,25,4
A,岐阜,△,1,1,19,16,3,8,2,5,26,4
H,栃木,●,0,1,19,17,2,8,2,6,26,4
H,熊本,△,1,1,20,18,2,8,3,6,27,5
A,松本,○,1,0,21,18,3,9,3,6,30,4
H,千葉,○,1,0,22,18,4,10,3,6,33,4
A,湘南,●,0,2,22,20,2,10,3,7,33,4
H,愛媛,●,0,3,22,23,-1,10,3,8,33,5
A,山形,○,2,1,24,24,0,11,3,8,36,5
H,大分,△,1,1,25,25,0,11,4,8,37,5
A,群馬,△,0,0,25,25,0,11,5,8,38,5
H,札幌,○,2,0,27,25,2,12,5,8,41,5
A,水戸,△,1,1,28,26,2,12,6,8,42,5
H,岡山,○,2,1,30,27,3,13,6,8,45,4
H,長崎,○,2,1,32,28,4,14,6,8,48,4
A,京都,△,1,1,33,29,4,14,7,8,49,4
H,福岡,●,3,5,36,34,2,14,7,9,49,4
A,千葉,○,3,1,39,35,4,15,7,9,52,4
A,磐田,●,1,3,40,38,2,15,7,10,52,5
H,松本,△,0,0,40,38,2,15,8,10,53,4
A,熊本,○,1,0,41,38,3,16,8,10,56,4
H,富山,△,2,2,43,40,3,16,9,10,57,4
A,栃木,△,1,1,44,41,3,16,10,10,58,4
H,東京Ｖ,○,2,1,46,42,4,17,10,10,61,4
H,岐阜,○,2,0,48,42,6,18,10,10,64,4
A,讃岐,△,1,1,49,43,6,18,11,10,65,4
H,湘南,●,0,4,49,47,2,18,11,11,65,4
A,愛媛,●,1,2,50,49,1,18,11,12,65,5
A,横浜FC,●,0,1,50,50,0,18,11,13,65,5
