H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
A,岡山,△,0,0,0,0,0,1,10
A,岐阜,●,0,3,0,3,-3,1,19
H,横浜FC,●,1,2,1,5,-4,1,21
H,京都,●,1,2,2,7,-5,1,21
A,群馬,●,0,2,2,9,-7,1,20
H,東京Ｖ,●,0,3,2,12,-10,1,21
A,愛媛,●,0,4,2,16,-14,1,21
H,千葉,△,1,1,3,17,-14,2,21
A,大分,●,0,3,3,20,-17,2,22
H,松本,○,3,2,6,22,-16,5,21
A,山形,●,0,1,6,23,-17,5,21
H,北九州,●,0,2,6,25,-19,5,21
A,福岡,●,1,2,7,27,-20,5,21
H,磐田,●,0,1,7,28,-21,5,21
A,讃岐,●,1,2,8,30,-22,5,21
A,熊本,●,0,2,8,32,-24,5,22
H,湘南,●,0,1,8,33,-25,5,22
H,水戸,●,0,3,8,36,-28,5,22
A,札幌,●,1,2,9,38,-29,5,22
H,長崎,○,1,0,10,38,-28,8,22
A,栃木,●,1,2,11,40,-29,8,22
H,讃岐,△,1,1,12,41,-29,9,22
A,湘南,●,0,2,12,43,-31,9,22
H,愛媛,●,1,3,13,46,-33,9,22
A,横浜FC,●,0,2,13,48,-35,9,22
H,山形,△,1,1,14,49,-35,10,22
A,磐田,●,2,3,16,52,-36,10,22
H,熊本,●,0,2,16,54,-38,10,22
A,長崎,●,0,2,16,56,-40,10,22
H,岐阜,△,0,0,16,56,-40,11,22
H,大分,△,1,1,17,57,-40,12,22
A,東京Ｖ,○,1,0,18,57,-39,15,22
H,群馬,●,0,1,18,58,-40,15,22
H,福岡,●,1,2,19,60,-41,15,22
A,北九州,△,2,2,21,62,-41,16,22
A,水戸,○,3,2,24,64,-40,19,22
H,札幌,●,0,2,24,66,-42,19,22
A,松本,●,1,2,25,68,-43,19,22
H,栃木,○,1,0,26,68,-42,22,22
A,京都,△,1,1,27,69,-42,23,22
A,千葉,●,1,2,28,71,-43,23,22
H,岡山,●,0,3,28,74,-46,23,22
