H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝利数,引分数,敗北数,勝ち点,順位
A,東京Ｖ,△,1,1,1,1,0,0,1,0,1,9
H,大宮,○,3,1,4,2,2,1,1,0,4,4
A,岡山,△,1,1,5,3,2,1,2,0,5,9
H,横浜FC,○,2,0,7,3,4,2,2,0,8,3
A,千葉,△,4,4,11,7,4,2,3,0,9,5
A,岐阜,○,2,0,13,7,6,3,3,0,12,4
H,金沢,●,0,2,13,9,4,3,3,1,12,5
H,群馬,●,1,2,14,11,3,3,3,2,12,9
A,讃岐,○,3,1,17,12,5,4,3,2,15,8
H,京都,○,3,0,20,12,8,5,3,2,18,4
A,福岡,●,0,1,20,13,7,5,3,3,18,7
H,磐田,●,1,2,21,15,6,5,3,4,18,8
A,北九州,○,3,0,24,15,9,6,3,4,21,7
H,長崎,●,1,2,25,17,8,6,3,5,21,8
A,熊本,△,0,0,25,17,8,6,4,5,22,8
A,札幌,△,1,1,26,18,8,6,5,5,23,9
H,愛媛,○,1,0,27,18,9,7,5,5,26,9
A,水戸,△,1,1,28,19,9,7,6,5,27,8
H,徳島,○,1,0,29,19,10,8,6,5,30,7
A,栃木,○,3,0,32,19,13,9,6,5,33,4
H,大分,△,0,0,32,19,13,9,7,5,34,5
A,横浜FC,△,0,0,32,19,13,9,8,5,35,6
H,札幌,○,3,1,35,20,15,10,8,5,38,4
A,京都,●,0,1,35,21,14,10,8,6,38,4
H,岡山,○,2,1,37,22,15,11,8,6,41,3
A,磐田,○,1,0,38,22,16,12,8,6,44,3
A,愛媛,●,1,2,39,24,15,12,8,7,44,4
H,千葉,△,1,1,40,25,15,12,9,7,45,4
H,岐阜,○,1,0,41,25,16,13,9,7,48,4
A,大分,○,3,1,44,26,18,14,9,7,51,3
H,栃木,○,4,1,48,27,21,15,9,7,54,3
A,大宮,○,2,1,50,28,22,16,9,7,57,3
H,水戸,△,2,2,52,30,22,16,10,7,58,3
A,徳島,△,1,1,53,31,22,16,11,7,59,3
H,福岡,●,0,1,53,32,21,16,11,8,59,4
H,北九州,○,1,0,54,32,22,17,11,8,62,4
A,群馬,●,0,2,54,34,20,17,11,9,62,4
H,讃岐,△,0,0,54,34,20,17,12,9,63,4
H,熊本,△,1,1,55,35,20,17,13,9,64,4
A,金沢,●,0,3,55,38,17,17,13,10,64,4
A,長崎,●,0,2,55,40,15,17,13,11,64,4
H,東京Ｖ,○,2,0,57,40,17,18,13,11,67,4
