H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝利数,引分数,敗北数,勝ち点,順位
A,愛媛,●,0,2,0,2,-2,0,0,1,0,20
H,福岡,●,0,1,0,3,-3,0,0,2,0,21
A,鳥取,○,3,0,3,3,0,1,0,2,3,13
H,熊本,○,1,0,4,3,1,2,0,2,6,12
A,京都,●,1,2,5,5,0,2,0,3,6,13
H,東京Ｖ,●,1,2,6,7,-1,2,0,4,6,16
A,湘南,●,0,2,6,9,-3,2,0,5,6,17
H,栃木,●,0,3,6,12,-6,2,0,6,6,18
A,甲府,△,1,1,7,13,-6,2,1,6,7,18
H,松本,●,0,1,7,14,-7,2,1,7,7,19
A,横浜FC,○,4,2,11,16,-5,3,1,7,10,16
H,北九州,●,0,1,11,17,-6,3,1,8,10,18
A,富山,△,1,1,12,18,-6,3,2,8,11,18
H,千葉,●,1,6,13,24,-11,3,2,9,11,20
A,大分,●,1,2,14,26,-12,3,2,10,11,20
H,水戸,△,0,0,14,26,-12,3,3,10,12,21
A,徳島,●,0,1,14,27,-13,3,3,11,12,21
H,草津,●,0,2,14,29,-15,3,3,12,12,22
A,岡山,●,1,2,15,31,-16,3,3,13,12,22
H,山形,△,0,0,15,31,-16,3,4,13,13,22
A,岐阜,●,0,1,15,32,-17,3,4,14,13,22
H,横浜FC,●,0,4,15,36,-21,3,4,15,13,22
H,甲府,●,0,1,15,37,-22,3,4,16,13,22
A,栃木,●,0,1,15,38,-23,3,4,17,13,22
A,草津,△,1,1,16,39,-23,3,5,17,14,22
H,京都,●,1,2,17,41,-24,3,5,18,14,22
A,北九州,△,1,1,18,42,-24,3,6,18,15,22
A,千葉,○,1,0,19,42,-23,4,6,18,18,22
H,徳島,○,1,0,20,42,-22,5,6,18,21,20
H,鳥取,△,0,0,20,42,-22,5,7,18,22,20
A,山形,●,1,3,21,45,-24,5,7,19,22,21
H,岡山,△,2,2,23,47,-24,5,8,19,23,21
A,松本,●,0,3,23,50,-27,5,8,20,23,22
A,福岡,△,1,1,24,51,-27,5,9,20,24,22
H,富山,○,3,2,27,53,-26,6,9,20,27,22
H,大分,●,1,3,28,56,-28,6,9,21,27,22
A,東京Ｖ,△,1,1,29,57,-28,6,10,21,28,22
A,熊本,●,1,2,30,59,-29,6,10,22,28,22
H,愛媛,●,2,4,32,63,-31,6,10,23,28,22
H,岐阜,○,1,0,33,63,-30,7,10,23,31,22
A,水戸,△,1,1,34,64,-30,7,11,23,32,22
H,湘南,●,0,3,34,67,-33,7,11,24,32,22
