H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
A,岡山,△,1,1,1,1,0,1,12
A,水戸,●,0,1,1,2,-1,1,16
H,東京Ｖ,●,1,4,2,6,-4,1,21
A,栃木,△,0,0,2,6,-4,2,20
H,北九州,●,2,3,4,9,-5,2,20
A,松本,○,3,0,7,9,-2,5,18
H,草津,●,1,2,8,11,-3,5,18
A,山形,●,0,1,8,12,-4,5,19
H,大分,●,2,3,10,15,-5,5,21
A,千葉,△,1,1,11,16,-5,6,20
H,岐阜,○,1,0,12,16,-4,9,18
A,鳥取,●,0,1,12,17,-5,9,20
H,町田,△,1,1,13,18,-5,10,21
A,横浜FC,●,0,3,13,21,-8,10,21
H,福岡,●,0,1,13,22,-9,10,21
A,愛媛,○,1,0,14,22,-8,13,19
H,京都,△,1,1,15,23,-8,14,19
A,湘南,●,0,1,15,24,-9,14,19
H,徳島,●,0,1,15,25,-10,14,19
A,甲府,●,1,4,16,29,-13,14,19
H,熊本,●,0,2,16,31,-15,14,21
A,大分,△,1,1,17,32,-15,15,21
H,山形,△,1,1,18,33,-15,16,21
A,岐阜,△,2,2,20,35,-15,17,20
H,栃木,●,1,2,21,37,-16,17,20
H,横浜FC,△,0,0,21,37,-16,18,21
A,東京Ｖ,●,0,1,21,38,-17,18,21
H,松本,●,1,2,22,40,-18,18,21
H,甲府,△,1,1,23,41,-18,19,22
A,福岡,●,2,3,25,44,-19,19,22
A,熊本,●,0,3,25,47,-22,19,22
H,愛媛,○,1,0,26,47,-21,22,22
H,千葉,○,2,0,28,47,-19,25,21
A,草津,○,1,0,29,47,-18,28,20
A,町田,●,2,3,31,50,-19,28,20
H,岡山,△,1,1,32,51,-19,29,21
H,鳥取,○,2,1,34,52,-18,32,20
A,京都,○,1,0,35,52,-17,35,19
A,徳島,●,0,3,35,55,-20,35,19
H,湘南,●,0,2,35,57,-22,35,19
A,北九州,●,0,1,35,58,-23,35,19
H,水戸,○,3,1,38,59,-21,38,19
