H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝利数,引分数,敗北数,勝ち点,順位
H,栃木,○,2,1,2,1,1,1,0,0,3,5
A,東京Ｖ,○,3,1,5,2,3,2,0,0,6,2
H,愛媛,○,2,1,7,3,4,3,0,0,9,3
A,山形,●,1,2,8,5,3,3,0,1,9,3
A,横浜FC,○,2,0,10,5,5,4,0,1,12,2
H,北九州,●,1,2,11,7,4,4,0,2,12,4
H,大分,○,1,0,12,7,5,5,0,2,15,3
A,鳥取,△,0,0,12,7,5,5,1,2,16,4
H,町田,△,1,1,13,8,5,5,2,2,17,4
A,徳島,○,2,0,15,8,7,6,2,2,20,3
H,福岡,△,1,1,16,9,7,6,3,2,21,3
A,湘南,△,1,1,17,10,7,6,4,2,22,5
H,京都,●,0,3,17,13,4,6,4,3,22,8
A,熊本,△,0,0,17,13,4,6,5,3,23,9
H,草津,○,2,0,19,13,6,7,5,3,26,7
A,岐阜,○,3,0,22,13,9,8,5,3,29,5
A,松本,△,1,1,23,14,9,8,6,3,30,5
H,千葉,●,0,2,23,16,7,8,6,4,30,7
A,水戸,○,3,1,26,17,9,9,6,4,33,7
H,富山,○,4,1,30,18,12,10,6,4,36,6
A,岡山,△,1,1,31,19,12,10,7,4,37,6
H,岐阜,△,0,0,31,19,12,10,8,4,38,6
A,町田,○,1,0,32,19,13,11,8,4,41,6
H,松本,○,2,1,34,20,14,12,8,4,44,5
A,千葉,○,1,0,35,20,15,13,8,4,47,2
H,東京Ｖ,○,3,1,38,21,17,14,8,4,50,1
A,草津,○,2,1,40,22,18,15,8,4,53,1
H,水戸,○,1,0,41,22,19,16,8,4,56,1
A,富山,△,1,1,42,23,19,16,9,4,57,1
H,山形,△,0,0,42,23,19,16,10,4,58,1
H,横浜FC,○,2,1,44,24,20,17,10,4,61,1
A,大分,○,2,1,46,25,21,18,10,4,64,1
H,岡山,○,1,0,47,25,22,19,10,4,67,1
H,鳥取,△,1,1,48,26,22,19,11,4,68,1
A,北九州,○,3,2,51,28,23,20,11,4,71,1
A,栃木,○,2,1,53,29,24,21,11,4,74,1
H,徳島,○,3,2,56,31,25,22,11,4,77,1
H,湘南,△,2,2,58,33,25,22,12,4,78,1
A,福岡,○,3,2,61,35,26,23,12,4,81,1
A,愛媛,△,0,0,61,35,26,23,13,4,82,1
H,熊本,○,2,0,63,35,28,24,13,4,85,1
A,京都,△,0,0,63,35,28,24,14,4,86,1
